learning_rate,dimension,x_inicial,y_inicial,x_final,y_final,valor_minimo,iteraciones,convergido
0.001,1D,-2.0,,-0.3502580686891125,,16.224229126816503,200,False
0.01,1D,-2.0,,2.9120602669713924,,5.0077333966451425,200,False
0.1,1D,-2.0,,2.9999960768114153,,5.000000000015391,63,True
0.5,1D,-2.0,,3.0,,5.0,2,True
0.9,1D,-2.0,,3.0000004212491667,,5.000000000000178,73,True
1.0,1D,-2.0,,-2.0,,30.0,200,False
1.5,1D,-2.0,,-8.034690221294951e+60,,6.4556246952172715e+121,200,False
0.001,2D,-1.0,4.0,0.8974662354285227,2.102533764571476,2.431161404040305,500,False
0.01,2D,-1.0,4.0,1.9998769280445634,1.0001230719554366,3.0293412223159066e-08,500,False
0.1,2D,-1.0,4.0,1.9999997472505,1.0000002527495,1.2789769243681803e-13,73,True
0.5,2D,-1.0,4.0,2.0,1.0,0.0,2,True
0.001,2D,5.0,-1.0,3.1025337645714757,0.2649774902856821,1.7558387918068843,500,False
0.01,2D,5.0,-1.0,2.0001230719554366,0.9999179520297089,2.187857539581728e-08,500,False
0.1,2D,5.0,-1.0,2.0000003159368753,0.9999997893754167,1.438849039914203e-13,72,True
0.5,2D,5.0,-1.0,2.0,1.0,0.0,2,True
0.001,2D,0.0,0.0,1.264977490285682,0.632488745142841,0.6753226122334182,500,False
0.01,2D,0.0,0.0,1.9999179520297095,0.9999589760148547,8.414836827341787e-09,500,False
0.1,2D,0.0,0.0,1.9999996708990886,0.9999998354495443,1.3500311979441904e-13,70,True
0.5,2D,0.0,0.0,2.0,1.0,0.0,2,True
